mid_price_top,mid_price_mean,mid_price_mid,mid_price_market_top,mid_price_market_mean,mid_price_market_mid,book_imbalance_0.5_1sec,timestamp
37126500,37130550,37126750,37116451.6765286,37132039.47023723,37113225.21246459,169001468.75913724,2023-02-05/30/23 00:02:13
37126500,37128950,37126750,37116451.6765286,37130132.69147451,37113225.21246459,171247738.79894948,2023-02-05/30/23 00:02:14
37126500,37128950,37126750,37116451.6765286,37130132.69147451,37113225.21246459,171247738.79894948,2023-02-05/30/23 00:02:15
37126500,37128200,37126250,37117843.17343174,37123926.68550666,37126014.00289715,170495999.8585297,2023-02-05/30/23 00:02:16
37126500,37128200,37126250,37117843.17343174,37123926.68550666,37126014.00289715,170495999.8585297,2023-02-05/30/23 00:02:17
37126500,37128200,37126250,37117843.17343174,37123926.68550666,37126014.00289715,170495999.8585297,2023-02-05/30/23 00:02:18
37126500,37128200,37126250,37117843.17343174,37142556.83646793,37126014.00289715,190905916.72036353,2023-02-05/30/23 00:02:19
37126500,37129300,37126750,37117843.17343174,37144847.878046066,37151689.527444154,182773038.04320577,2023-02-05/30/23 00:02:20
37126500,37129000,37126750,37117843.17343174,37145652.23308696,37151651.94687252,190251050.35473615,2023-02-05/30/23 00:02:21
37126500,37129000,37126750,37117843.17343174,37145652.23308696,37151651.94687252,190251050.35473615,2023-02-05/30/23 00:02:22
37126500,37130550,37127750,37117843.17343174,37147787.749121964,37153229.00203206,185398816.1406984,2023-02-05/30/23 00:02:23
37126500,37131100,37127750,37117843.17343174,37148414.8181837,37153229.00203206,182389995.76617518,2023-02-05/30/23 00:02:24
37130000,37138150,37139750,37130058.516196445,37155329.78156633,37134505.76923077,161767508.3062099,2023-02-05/30/23 00:02:25
37130000,37138150,37139750,37130058.516196445,37155329.78156633,37134505.76923077,161767508.3062099,2023-02-05/30/23 00:02:26
37137000,37151400,37153000,37136547.28370221,37159450.788557254,37137160.00000001,154628019.6694802,2023-02-05/30/23 00:02:27
37147500,37150800,37151250,37154218.68714573,37156264.98717441,37130120.01375516,171726996.91919506,2023-02-05/30/23 00:02:28
37147500,37150800,37151250,37154218.68714573,37156264.98717441,37130120.01375516,171726996.91919506,2023-02-05/30/23 00:02:29
37143500,37146400,37144750,37157512.3424823,37169470.59435245,37152039.15662651,185562781.15479296,2023-02-05/30/23 00:02:30
37143500,37146400,37144750,37157512.3424823,37169470.59435245,37152039.15662651,185562781.15479296,2023-02-05/30/23 00:02:31
37142500,37144850,37144250,37155711.166941,37159858.61155273,37138162.16216216,184118078.04953745,2023-02-05/30/23 00:02:32
37142500,37144850,37144250,37155711.166941,37159858.61155273,37138162.16216216,184118078.04953745,2023-02-05/30/23 00:02:33
37142500,37143700,37142000,37155711.166941,37157602.40837697,37136528.515878156,177126066.3257708,2023-02-05/30/23 00:02:34
37142500,37142050,37139500,37147682.02080238,37143024.81739158,37115773.437973455,146831677.47437766,2023-02-05/30/23 00:02:35
37144500,37142350,37139500,37154631.51331611,37143402.21762555,37115773.437973455,167831842.75504693,2023-02-05/30/23 00:02:36
37144500,37142350,37139500,37154631.51331611,37143402.21762555,37115773.437973455,167831842.75504693,2023-02-05/30/23 00:02:37
37144500,37142350,37139500,37154142.702312134,37143145.61237121,37115773.437973455,169559305.46372017,2023-02-05/30/23 00:02:38
37144500,37143500,37140500,37154142.702312134,37144203.519288406,37128897.1849067,160103857.0020349,2023-02-05/30/23 00:02:39
37144500,37143500,37140500,37154142.702312134,37144203.519288406,37128897.1849067,160103857.0020349,2023-02-05/30/23 00:02:40
37143500,37142200,37139750,37152104.63121784,37141468.71230932,37138864.4278607,144595141.82543895,2023-02-05/30/23 00:02:41
37143500,37143050,37141250,37152002.414001204,37138650.25429934,37141262.4028691,174168730.2384522,2023-02-05/30/23 00:02:42
37143500,37143050,37141250,37152002.414001204,37138650.25429934,37141262.4028691,174168730.2384522,2023-02-05/30/23 00:02:43
37143500,37142850,37140750,37152052.17889908,37147234.08685537,37137519.01140685,166094451.83055142,2023-02-05/30/23 00:02:44
37143500,37142850,37140750,37152052.17889908,37147237.084706336,37137519.01140685,166092538.4626208,2023-02-05/30/23 00:02:45
37143500,37141750,37140000,37152052.17889908,37142582.3916691,37152698.91696751,169513670.28915665,2023-02-05/30/23 00:02:46
37143500,37143050,37140750,37152052.17889908,37143824.2702328,37136027.5862069,164761679.45005426,2023-02-05/30/23 00:02:47
37143500,37143050,37140750,37152052.17889908,37143824.2702328,37136027.5862069,164761679.45005426,2023-02-05/30/23 00:02:48
37143500,37143050,37140750,37152052.17889908,37149020.142981134,37136027.5862069,168942416.76020932,2023-02-05/30/23 00:02:49
37142500,37140850,37139000,37150933.5737902,37146437.64333272,37125307.6977702,171427509.63189787,2023-02-05/30/23 00:02:50
37142500,37139550,37138500,37150933.5737902,37145602.27241332,37137882.891049944,176218592.87850744,2023-02-05/30/23 00:02:51
37142500,37139550,37138500,37150933.5737902,37145602.27241332,37137882.891049944,176218592.87850744,2023-02-05/30/23 00:02:52
37142500,37139550,37138500,37150933.5737902,37145602.27241332,37137882.891049944,176218592.87850744,2023-02-05/30/23 00:02:53
37142500,37139550,37138500,37150933.5737902,37145602.27241332,37137882.891049944,176218592.87850744,2023-02-05/30/23 00:02:54
37142500,37140650,37139250,37150933.5737902,37150890.364363946,37152495.41284403,170161476.6071825,2023-02-05/30/23 00:02:55
37142500,37140650,37139250,37150933.5737902,37143983.72050485,37152495.41284403,163313427.04569384,2023-02-05/30/23 00:02:56
37142500,37140650,37139250,37150933.5737902,37143983.72050485,37152495.41284403,163313427.04569384,2023-02-05/30/23 00:02:57
37142500,37140650,37139250,37150933.5737902,37146720.3505267,37153400.943396226,184878441.5950851,2023-02-05/30/23 00:02:58
37142500,37140650,37139250,37150933.5737902,37146720.3505267,37153400.943396226,184878441.5950851,2023-02-05/30/23 00:02:59
37142500,37140650,37139250,37150933.5737902,37147129.911455445,37153400.943396226,180961500.66231045,2023-03-05/30/23 00:03:00
37142500,37141200,37139250,37150933.5737902,37151708.168421045,37153400.943396226,195074657.69499946,2023-03-05/30/23 00:03:01
37142500,37141200,37139250,37150950.556614175,37151716.35693604,37153400.943396226,194671316.53670567,2023-03-05/30/23 00:03:02
37142500,37141200,37139250,37150950.556614175,37151716.35693604,37153400.943396226,194671316.53670567,2023-03-05/30/23 00:03:03
37144500,37144500,37141250,37137349.20634921,37154618.68463986,37136924.72810532,202098686.94268054,2023-03-05/30/23 00:03:04
37144500,37144500,37141250,37137349.20634921,37154618.68463986,37136924.72810532,202098686.94268054,2023-03-05/30/23 00:03:05
37143500,37143400,37140250,37151985.57839828,37149959.332051225,37153876.189789444,200960129.55497196,2023-03-05/30/23 00:03:06
37143500,37143400,37140250,37151985.57839828,37149959.332051225,37153876.189789444,200960129.55497196,2023-03-05/30/23 00:03:07
37143500,37143400,37140250,37151985.57839828,37149959.332051225,37153876.189789444,200960129.55497196,2023-03-05/30/23 00:03:08
37143500,37144050,37141750,37151985.57839828,37151065.24770809,37140628.755364805,206781410.39576676,2023-03-05/30/23 00:03:09
37143500,37144050,37141750,37151985.57839828,37151065.24770809,37140628.755364805,206781410.39576676,2023-03-05/30/23 00:03:10
37146500,37147750,37148500,37157583.22291306,37155258.367494844,37148296.00135547,198467023.46652853,2023-03-05/30/23 00:03:11
37147500,37149700,37151500,37146797.70992366,37159938.80764241,37155393.44262295,201150550.2424309,2023-03-05/30/23 00:03:12
37147500,37149700,37151500,37146797.70992366,37159938.80764241,37155393.44262295,201150550.2424309,2023-03-05/30/23 00:03:13
37148500,37150550,37151750,37143348.52546917,37154979.51045884,37159614.945856735,189176507.33263755,2023-03-05/30/23 00:03:14
37148500,37150550,37151750,37143348.52546917,37154979.51045884,37159614.945856735,189176507.33263755,2023-03-05/30/23 00:03:15
37148500,37150100,37150250,37143348.52546917,37160623.680702575,37170373.5725938,173038802.84054184,2023-03-05/30/23 00:03:16
37147500,37147500,37146750,37146797.70992366,37158936.74114615,37128844.05837387,183179641.13135466,2023-03-05/30/23 00:03:17
37147500,37147500,37146750,37146797.70992366,37158936.74114615,37128844.05837387,183179641.13135466,2023-03-05/30/23 00:03:18
37147500,37147500,37146750,37146797.70992366,37158936.74114615,37128844.05837387,183179641.13135466,2023-03-05/30/23 00:03:19
37147500,37146250,37145000,37146797.70992366,37157750.324394464,37128407.12328767,181863303.50933528,2023-03-05/30/23 00:03:20
37147500,37146350,37145000,37146797.70992366,37157798.63754325,37128407.12328767,181863962.29361442,2023-03-05/30/23 00:03:21
37147500,37146350,37145000,37146797.70992366,37157798.63754325,37128407.12328767,181863962.29361442,2023-03-05/30/23 00:03:22
37147500,37146350,37145250,37146797.70992366,37163543.70676188,37144233.06401492,180654456.82133096,2023-03-05/30/23 00:03:23
37147500,37147050,37145250,37146797.70992366,37164714.62838795,37144233.06401492,175883019.3474445,2023-03-05/30/23 00:03:24
37147500,37147050,37145250,37146797.70992366,37164714.62838795,37144233.06401492,175883019.3474445,2023-03-05/30/23 00:03:25
37147500,37146300,37144750,37146797.70992366,37157771.93718404,37128351.08130304,181927036.82216603,2023-03-05/30/23 00:03:26
